date	currency	usd_rate
28/03/2025	GBP	1.2848
28/03/2025	CAD	0.7348
29/03/2025	USD	1
29/03/2025	EUR	1.0719
29/03/2025	GBP	1.265
29/03/2025	CAD	0.7492
30/03/2025	USD	1
30/03/2025	EUR	1.0833
30/03/2025	GBP	1.2647
30/03/2025	CAD	0.7451
31/03/2025	USD	1
31/03/2025	EUR	1.081
31/03/2025	GBP	1.2797
31/03/2025	CAD	0.733
01/04/2025	USD	1
01/04/2025	EUR	1.0767
01/04/2025	GBP	1.2661
01/04/2025	CAD	0.7254
02/04/2025	USD	1
02/04/2025	EUR	1.083
02/04/2025	GBP	1.2726
02/04/2025	CAD	0.7401
03/04/2025	USD	1
03/04/2025	EUR	1.0777
03/04/2025	GBP	1.2558
03/04/2025	CAD	0.7358
04/04/2025	USD	1
04/04/2025	EUR	1.0766
04/04/2025	GBP	1.262
04/04/2025	CAD	0.7384
05/04/2025	USD	1
05/04/2025	EUR	1.084
05/04/2025	GBP	1.2889
05/04/2025	CAD	0.7417
06/04/2025	USD	1
06/04/2025	EUR	1.0826
06/04/2025	GBP	1.2693
06/04/2025	CAD	0.7208
07/04/2025	USD	1
07/04/2025	EUR	1.0797
07/04/2025	GBP	1.2706
07/04/2025	CAD	0.7646
08/04/2025	USD	1
08/04/2025	EUR	1.0781
08/04/2025	GBP	1.273
08/04/2025	CAD	0.7397
09/04/2025	USD	1
09/04/2025	EUR	1.0683
09/04/2025	GBP	1.2814
09/04/2025	CAD	0.7475
10/04/2025	USD	1
10/04/2025	EUR	1.0879
10/04/2025	GBP	1.2609
10/04/2025	CAD	0.754
11/04/2025	USD	1
11/04/2025	EUR	1.066
11/04/2025	GBP	1.2759
11/04/2025	CAD	0.7619
12/04/2025	USD	1
12/04/2025	EUR	1.0701
12/04/2025	GBP	1.2643
12/04/2025	CAD	0.741
13/04/2025	USD	1
13/04/2025	EUR	1.075
13/04/2025	GBP	1.2545
13/04/2025	CAD	0.7407
14/04/2025	USD	1
14/04/2025	EUR	1.0694
14/04/2025	GBP	1.2747
14/04/2025	CAD	0.7308
15/04/2025	USD	1
15/04/2025	EUR	1.0955
15/04/2025	GBP	1.2622
15/04/2025	CAD	0.7368
16/04/2025	USD	1
16/04/2025	EUR	1.0881
16/04/2025	GBP	1.2577
16/04/2025	CAD	0.7423
17/04/2025	USD	1
17/04/2025	EUR	1.0931
17/04/2025	GBP	1.2539
17/04/2025	CAD	0.7418
18/04/2025	USD	1
18/04/2025	EUR	1.0826
18/04/2025	GBP	1.2778
18/04/2025	CAD	0.7276
19/04/2025	USD	1
19/04/2025	EUR	1.0668
19/04/2025	GBP	1.2752
19/04/2025	CAD	0.743
20/04/2025	USD	1
20/04/2025	EUR	1.0825
20/04/2025	GBP	1.2735
20/04/2025	CAD	0.7332
21/04/2025	USD	1
21/04/2025	EUR	1.0823
21/04/2025	GBP	1.2729
21/04/2025	CAD	0.7329
22/04/2025	USD	1
22/04/2025	EUR	1.0987
22/04/2025	GBP	1.2747
22/04/2025	CAD	0.7281
23/04/2025	USD	1
23/04/2025	EUR	1.0866
23/04/2025	GBP	1.2603
23/04/2025	CAD	0.7479
24/04/2025	USD	1
24/04/2025	EUR	1.0916
24/04/2025	GBP	1.2618
24/04/2025	CAD	0.7496
25/04/2025	USD	1
25/04/2025	EUR	1.0841
25/04/2025	GBP	1.2782
25/04/2025	CAD	0.759
26/04/2025	USD	1
26/04/2025	EUR	1.0775
26/04/2025	GBP	1.2625
26/04/2025	CAD	0.7311
27/04/2025	USD	1
27/04/2025	EUR	1.0718
27/04/2025	GBP	1.2692
27/04/2025	CAD	0.7434
28/04/2025	USD	1
28/04/2025	EUR	1.0828
28/04/2025	GBP	1.2783
28/04/2025	CAD	0.7401
29/04/2025	USD	1
29/04/2025	EUR	1.0945
29/04/2025	GBP	1.2674
29/04/2025	CAD	0.7672
30/04/2025	USD	1
30/04/2025	EUR	1.0863
30/04/2025	GBP	1.2614
30/04/2025	CAD	0.7293
01/05/2025	USD	1
01/05/2025	EUR	1.0848
01/05/2025	GBP	1.2678
01/05/2025	CAD	0.7471
02/05/2025	USD	1
02/05/2025	EUR	1.0847
02/05/2025	GBP	1.2693
02/05/2025	CAD	0.7315
03/05/2025	USD	1
03/05/2025	EUR	1.0649
03/05/2025	GBP	1.2655
03/05/2025	CAD	0.7486
04/05/2025	USD	1
04/05/2025	EUR	1.0821
04/05/2025	GBP	1.2575
04/05/2025	CAD	0.7417
05/05/2025	USD	1
05/05/2025	EUR	1.0839
05/05/2025	GBP	1.2612
05/05/2025	CAD	0.7415
06/05/2025	USD	1
06/05/2025	EUR	1.0806
06/05/2025	GBP	1.2586
06/05/2025	CAD	0.7436
07/05/2025	USD	1
07/05/2025	EUR	1.0856
07/05/2025	GBP	1.2808
07/05/2025	CAD	0.7505
08/05/2025	USD	1
08/05/2025	EUR	1.0662
08/05/2025	GBP	1.2606
08/05/2025	CAD	0.7452
09/05/2025	USD	1
09/05/2025	EUR	1.0851
09/05/2025	GBP	1.2752
09/05/2025	CAD	0.7785
10/05/2025	USD	1
10/05/2025	EUR	1.0857
10/05/2025	GBP	1.2814
10/05/2025	CAD	0.7495
11/05/2025	USD	1
11/05/2025	EUR	1.0865
11/05/2025	GBP	1.2668
11/05/2025	CAD	0.7476
12/05/2025	USD	1
12/05/2025	EUR	1.0723
12/05/2025	GBP	1.2676
12/05/2025	CAD	0.7351
13/05/2025	USD	1
13/05/2025	EUR	1.0808
13/05/2025	GBP	1.2931
13/05/2025	CAD	0.7213
14/05/2025	USD	1
14/05/2025	EUR	1.0869
14/05/2025	GBP	1.2539
14/05/2025	CAD	0.7353
15/05/2025	USD	1
15/05/2025	EUR	1.0909
15/05/2025	GBP	1.2706
15/05/2025	CAD	0.7292
16/05/2025	USD	1
16/05/2025	EUR	1.0728
16/05/2025	GBP	1.2768
16/05/2025	CAD	0.7327
17/05/2025	USD	1
17/05/2025	EUR	1.0822
17/05/2025	GBP	1.2705
17/05/2025	CAD	0.7335
18/05/2025	USD	1
18/05/2025	EUR	1.1014
18/05/2025	GBP	1.2763
18/05/2025	CAD	0.7197
19/05/2025	USD	1
19/05/2025	EUR	1.0819
19/05/2025	GBP	1.2634
19/05/2025	CAD	0.7485
20/05/2025	USD	1
20/05/2025	EUR	1.0721
20/05/2025	GBP	1.2689
20/05/2025	CAD	0.745
21/05/2025	USD	1
21/05/2025	EUR	1.0887
21/05/2025	GBP	1.258
21/05/2025	CAD	0.7367
22/05/2025	USD	1
22/05/2025	EUR	1.0753
22/05/2025	GBP	1.2635
22/05/2025	CAD	0.7577
23/05/2025	USD	1
23/05/2025	EUR	1.084
23/05/2025	GBP	1.2574
23/05/2025	CAD	0.7492
24/05/2025	USD	1
24/05/2025	EUR	1.1012
24/05/2025	GBP	1.2803
24/05/2025	CAD	0.7248
25/05/2025	USD	1
25/05/2025	EUR	1.0752
25/05/2025	GBP	1.2827
25/05/2025	CAD	0.7329
26/05/2025	USD	1
26/05/2025	EUR	1.0844
26/05/2025	GBP	1.2777
26/05/2025	CAD	0.7307
27/05/2025	USD	1
27/05/2025	EUR	1.0794
27/05/2025	GBP	1.2376
27/05/2025	CAD	0.7298
28/05/2025	USD	1
28/05/2025	EUR	1.0775
28/05/2025	GBP	1.2575
28/05/2025	CAD	0.7563
29/05/2025	USD	1
29/05/2025	EUR	1.0657
29/05/2025	GBP	1.2656
29/05/2025	CAD	0.7413
30/05/2025	USD	1
30/05/2025	EUR	1.0944
30/05/2025	GBP	1.2556
30/05/2025	CAD	0.7516
31/05/2025	USD	1
31/05/2025	EUR	1.0801
31/05/2025	GBP	1.2602
31/05/2025	CAD	0.7446
01/06/2025	USD	1
01/06/2025	EUR	1.082
01/06/2025	GBP	1.264
01/06/2025	CAD	0.7407
02/06/2025	USD	1
02/06/2025	EUR	1.0761
02/06/2025	GBP	1.2711
02/06/2025	CAD	0.7466
03/06/2025	USD	1
03/06/2025	EUR	1.0959
03/06/2025	GBP	1.2576
03/06/2025	CAD	0.7613
04/06/2025	USD	1
04/06/2025	EUR	1.0605
04/06/2025	GBP	1.2685
04/06/2025	CAD	0.7459
05/06/2025	USD	1
05/06/2025	EUR	1.0828
05/06/2025	GBP	1.2638
05/06/2025	CAD	0.7379
06/06/2025	USD	1
06/06/2025	EUR	1.0751
06/06/2025	GBP	1.2641
06/06/2025	CAD	0.7485
07/06/2025	USD	1
07/06/2025	EUR	1.0836
07/06/2025	GBP	1.2631
07/06/2025	CAD	0.749
08/06/2025	USD	1
08/06/2025	EUR	1.0831
08/06/2025	GBP	1.2781
08/06/2025	CAD	0.7463
09/06/2025	USD	1
09/06/2025	EUR	1.0717
09/06/2025	GBP	1.2644
09/06/2025	CAD	0.7475
10/06/2025	USD	1
10/06/2025	EUR	1.0861
10/06/2025	GBP	1.2698
10/06/2025	CAD	0.7412
11/06/2025	USD	1
11/06/2025	EUR	1.0928
11/06/2025	GBP	1.2641
11/06/2025	CAD	0.7455
12/06/2025	USD	1
12/06/2025	EUR	1.078
12/06/2025	GBP	1.2678
12/06/2025	CAD	0.751
13/06/2025	USD	1
13/06/2025	EUR	1.0883
13/06/2025	GBP	1.2781
13/06/2025	CAD	0.7531
14/06/2025	USD	1
14/06/2025	EUR	1.0802
14/06/2025	GBP	1.2768
14/06/2025	CAD	0.7369
15/06/2025	USD	1
15/06/2025	EUR	1.0832
15/06/2025	GBP	1.2687
15/06/2025	CAD	0.741
16/06/2025	USD	1
16/06/2025	EUR	1.086
16/06/2025	GBP	1.2618
16/06/2025	CAD	0.7609
17/06/2025	USD	1
17/06/2025	EUR	1.0699
17/06/2025	GBP	1.2579
17/06/2025	CAD	0.7516
18/06/2025	USD	1
18/06/2025	EUR	1.0879
18/06/2025	GBP	1.2762
18/06/2025	CAD	0.7463
19/06/2025	USD	1
19/06/2025	EUR	1.0799
19/06/2025	GBP	1.261
19/06/2025	CAD	0.7408
20/06/2025	USD	1
20/06/2025	EUR	1.0732
20/06/2025	GBP	1.2798
20/06/2025	CAD	0.7385
21/06/2025	USD	1
21/06/2025	EUR	1.0717
21/06/2025	GBP	1.2668
21/06/2025	CAD	0.7441
22/06/2025	USD	1
22/06/2025	EUR	1.0744
22/06/2025	GBP	1.2618
22/06/2025	CAD	0.7424
23/06/2025	USD	1
23/06/2025	EUR	1.0824
23/06/2025	GBP	1.2649
23/06/2025	CAD	0.7353
24/06/2025	USD	1
24/06/2025	EUR	1.0823
24/06/2025	GBP	1.2555
24/06/2025	CAD	0.7259
25/06/2025	USD	1
25/06/2025	EUR	1.0728
25/06/2025	GBP	1.2679
25/06/2025	CAD	0.7431
26/06/2025	USD	1
26/06/2025	EUR	1.0948
26/06/2025	GBP	1.2786
26/06/2025	CAD	0.7384
27/06/2025	USD	1
27/06/2025	EUR	1.0798
27/06/2025	GBP	1.26
27/06/2025	CAD	0.7398
28/06/2025	USD	1
28/06/2025	EUR	1.0771
28/06/2025	GBP	1.2732
28/06/2025	CAD	0.7317
29/06/2025	USD	1
29/06/2025	EUR	1.0852
29/06/2025	GBP	1.2853
29/06/2025	CAD	0.7389
30/06/2025	USD	1
30/06/2025	EUR	1.084
30/06/2025	GBP	1.2769
30/06/2025	CAD	0.736
01/07/2025	USD	1
01/07/2025	EUR	1.0822
01/07/2025	GBP	1.2701
01/07/2025	CAD	0.741
02/07/2025	USD	1
02/07/2025	EUR	1.0723
02/07/2025	GBP	1.2702
02/07/2025	CAD	0.745
03/07/2025	USD	1
03/07/2025	EUR	1.0945
03/07/2025	GBP	1.2796
03/07/2025	CAD	0.7615
04/07/2025	USD	1
04/07/2025	EUR	1.0723
04/07/2025	GBP	1.2787
04/07/2025	CAD	0.7418
05/07/2025	USD	1
05/07/2025	EUR	1.1019
05/07/2025	GBP	1.2619
05/07/2025	CAD	0.7316
06/07/2025	USD	1
06/07/2025	EUR	1.074
06/07/2025	GBP	1.2488
06/07/2025	CAD	0.7347
07/07/2025	USD	1
07/07/2025	EUR	1.0724
07/07/2025	GBP	1.2715
07/07/2025	CAD	0.7434
08/07/2025	USD	1
08/07/2025	EUR	1.0988
08/07/2025	GBP	1.2795
08/07/2025	CAD	0.7342
09/07/2025	USD	1
09/07/2025	EUR	1.071
09/07/2025	GBP	1.2749
09/07/2025	CAD	0.7268
10/07/2025	USD	1
10/07/2025	EUR	1.0983
10/07/2025	GBP	1.2818
10/07/2025	CAD	0.7353
11/07/2025	USD	1
11/07/2025	EUR	1.0629
11/07/2025	GBP	1.2835
11/07/2025	CAD	0.7389
12/07/2025	USD	1
12/07/2025	EUR	1.0924
12/07/2025	GBP	1.2541
12/07/2025	CAD	0.734
13/07/2025	USD	1
13/07/2025	EUR	1.0801
13/07/2025	GBP	1.2705
13/07/2025	CAD	0.7355
14/07/2025	USD	1
14/07/2025	EUR	1.0862
14/07/2025	GBP	1.2593
14/07/2025	CAD	0.7386
15/07/2025	USD	1
15/07/2025	EUR	1.0812
15/07/2025	GBP	1.2751
15/07/2025	CAD	0.7471
16/07/2025	USD	1
16/07/2025	EUR	1.0688
16/07/2025	GBP	1.2547
16/07/2025	CAD	0.7528
17/07/2025	USD	1
17/07/2025	EUR	1.0833
17/07/2025	GBP	1.2625
17/07/2025	CAD	0.7555
18/07/2025	USD	1
18/07/2025	EUR	1.0812
18/07/2025	GBP	1.2818
18/07/2025	CAD	0.7407
19/07/2025	USD	1
19/07/2025	EUR	1.1006
19/07/2025	GBP	1.2876
19/07/2025	CAD	0.7375
20/07/2025	USD	1
20/07/2025	EUR	1.0897
20/07/2025	GBP	1.2765
20/07/2025	CAD	0.7537
21/07/2025	USD	1
21/07/2025	EUR	1.0704
21/07/2025	GBP	1.2769
21/07/2025	CAD	0.7506
22/07/2025	USD	1
22/07/2025	EUR	1.0624
22/07/2025	GBP	1.2582
22/07/2025	CAD	0.7196
23/07/2025	USD	1
23/07/2025	EUR	1.0773
23/07/2025	GBP	1.2772
23/07/2025	CAD	0.755
24/07/2025	USD	1
24/07/2025	EUR	1.0807
24/07/2025	GBP	1.2863
24/07/2025	CAD	0.7262
25/07/2025	USD	1
25/07/2025	EUR	1.063
25/07/2025	GBP	1.2694
25/07/2025	CAD	0.7438
26/07/2025	USD	1
26/07/2025	EUR	1.0797
26/07/2025	GBP	1.2493
26/07/2025	CAD	0.7391
27/07/2025	USD	1
27/07/2025	EUR	1.067
27/07/2025	GBP	1.2767
27/07/2025	CAD	0.7437
28/07/2025	USD	1
28/07/2025	EUR	1.0706
28/07/2025	GBP	1.2649
28/07/2025	CAD	0.7294
29/07/2025	USD	1
29/07/2025	EUR	1.0794
29/07/2025	GBP	1.2796
29/07/2025	CAD	0.7301
30/07/2025	USD	1
30/07/2025	EUR	1.085
30/07/2025	GBP	1.2647
30/07/2025	CAD	0.7321
31/07/2025	USD	1
31/07/2025	EUR	1.0789
31/07/2025	GBP	1.2596
31/07/2025	CAD	0.7345
