date	channel	campaign_id	impressions	clicks	cost_text
10/07/2025	email	prospecting	9538	79	USD 237.34
10/07/2025	google	retargeting	6910	75	USD 180.32
10/07/2025	google	newsletter	1924	42	USD 45.36
10/07/2025	google	promo	2774	60	USD 63.47
10/07/2025	google	awareness	2463	35	USD 59.19
10/07/2025	display	retargeting	3489	36	USD 89.65
11/07/2025	google	brand	9925	207	USD 241.8
11/07/2025	meta	nonbrand	13134	292	USD 336.91
11/07/2025	google	prospecting	10355	139	USD 254.67
11/07/2025	email	retargeting	6507	72	USD 164.41
11/07/2025	google	newsletter	2247	47	USD 55.66
11/07/2025	email	promo	3893	86	USD 91.11
11/07/2025	display	awareness	4667	57	USD 118.99
11/07/2025	google	retargeting	4122	42	USD 103.47
12/07/2025	google	brand	8869	192	USD 225.97
12/07/2025	email	nonbrand	11675	217	USD 291.95
12/07/2025	google	prospecting	6810	68	USD 165.85
12/07/2025	meta	retargeting	5531	63	USD 134.91
12/07/2025	email	newsletter	1806	41	USD 49.19
12/07/2025	meta	promo	2490	42	USD 62.48
12/07/2025	display	awareness	2519	28	USD 70.91
12/07/2025	display	retargeting	3882	42	USD 98.53
13/07/2025	meta	brand	8616	170	USD 212.11
13/07/2025	google	nonbrand	7997	146	USD 202.89
13/07/2025	email	prospecting	6742	48	USD 169.45
13/07/2025	meta	retargeting	5642	79	USD 138.34
13/07/2025	email	newsletter	2024	47	USD 44.71
13/07/2025	display	promo	2834	67	USD 71.42
13/07/2025	display	awareness	3870	28	USD 94.25
13/07/2025	display	retargeting	2963	28	USD 70.12
14/07/2025	meta	brand	11342	252	USD 284.66
14/07/2025	display	nonbrand	6876	159	USD 181.58
14/07/2025	meta	prospecting	6817	80	USD 168.59
14/07/2025	meta	retargeting	7726	82	USD 194.36
14/07/2025	google	newsletter	3217	55	USD 76.06
14/07/2025	meta	promo	3145	65	USD 85.76
14/07/2025	display	awareness	3531	53	USD 93.64
14/07/2025	display	retargeting	3880	30	USD 94.85
15/07/2025	google	brand	9508	190	USD 230.44
15/07/2025	email	nonbrand	9794	187	USD 249.11
15/07/2025	meta	prospecting	7037	65	USD 179.67
15/07/2025	display	retargeting	8049	51	USD 200.7
15/07/2025	google	newsletter	2389	53	USD 62.56
15/07/2025	email	promo	3074	72	USD 76.18
15/07/2025	google	awareness	4186	53	USD 99.56
15/07/2025	display	retargeting	4804	45	USD 127.02
16/07/2025	email	brand	9738	199	USD 243.51
16/07/2025	google	nonbrand	14083	320	USD 353.67
16/07/2025	meta	prospecting	8681	120	USD 208.86
16/07/2025	meta	retargeting	6683	49	USD 170.44
16/07/2025	google	newsletter	3563	65	USD 81.87
16/07/2025	email	promo	2494	48	USD 50.98
16/07/2025	display	awareness	3910	59	USD 100.04
16/07/2025	meta	retargeting	4416	26	USD 113.28
17/07/2025	google	brand	12243	260	USD 300.62
17/07/2025	google	nonbrand	12357	224	USD 310.92
17/07/2025	meta	prospecting	11214	71	USD 277.75
17/07/2025	display	retargeting	8019	146	USD 199.59
17/07/2025	email	newsletter	2303	55	USD 58.72
17/07/2025	meta	promo	3068	59	USD 63.51
17/07/2025	display	awareness	2848	33	USD 72.47
17/07/2025	meta	retargeting	5880	39	USD 144.22
18/07/2025	google	brand	11438	201	USD 284.72
18/07/2025	display	nonbrand	9712	184	USD 239.39
18/07/2025	meta	prospecting	6018	90	USD 153.68
18/07/2025	display	retargeting	6216	44	USD 150.62
18/07/2025	meta	newsletter	2871	48	USD 69.38
18/07/2025	email	promo	3309	76	USD 79.09
18/07/2025	meta	awareness	5205	43	USD 131.29
18/07/2025	meta	retargeting	4944	39	USD 117.96
19/07/2025	google	brand	8230	152	USD 212.98
19/07/2025	google	nonbrand	7213	137	USD 186.58
19/07/2025	google	prospecting	7698	106	USD 189.9
19/07/2025	email	retargeting	5241	72	USD 126.24
19/07/2025	email	newsletter	2216	43	USD 52.54
19/07/2025	meta	promo	2668	57	USD 58.94
19/07/2025	meta	awareness	4079	45	USD 99.94
19/07/2025	google	retargeting	3458	54	USD 92.35
20/07/2025	meta	brand	12118	246	USD 299.36
20/07/2025	meta	nonbrand	6365	112	USD 148.58
20/07/2025	meta	prospecting	7526	75	USD 180.2
20/07/2025	meta	retargeting	7605	79	USD 194.94
20/07/2025	email	newsletter	2188	43	USD 58.67
20/07/2025	email	promo	2648	28	USD 69.33
20/07/2025	display	awareness	3725	25	USD 92.46
20/07/2025	google	retargeting	3321	39	USD 87.16
21/07/2025	meta	brand	10204	213	USD 257.79
21/07/2025	google	nonbrand	13655	300	USD 344.34
21/07/2025	google	prospecting	6124	68	USD 149.74
21/07/2025	google	retargeting	8641	81	USD 210.92
21/07/2025	google	newsletter	2328	52	USD 53.06
21/07/2025	display	promo	3405	68	USD 85.0
21/07/2025	display	awareness	4136	51	USD 115.01
21/07/2025	display	retargeting	1219	16	USD 34.58
22/07/2025	google	brand	10730	183	USD 276.72
22/07/2025	google	nonbrand	7872	155	USD 194.72
22/07/2025	display	prospecting	10304	90	USD 258.95
22/07/2025	google	retargeting	6500	28	USD 165.11
22/07/2025	email	newsletter	2565	36	USD 61.71
22/07/2025	meta	promo	1864	36	USD 56.82
22/07/2025	display	awareness	4261	22	USD 107.85
22/07/2025	display	retargeting	4357	42	USD 113.58
23/07/2025	google	brand	10553	150	USD 260.05
23/07/2025	meta	nonbrand	10442	198	USD 259.0
23/07/2025	google	prospecting	9547	87	USD 235.55
23/07/2025	meta	retargeting	7717	92	USD 199.58
23/07/2025	email	newsletter	2754	46	USD 64.25
23/07/2025	meta	promo	2503	50	USD 61.85
23/07/2025	meta	awareness	5117	39	USD 130.27
23/07/2025	display	retargeting	4533	42	USD 105.34
24/07/2025	google	brand	9424	203	USD 229.79
24/07/2025	google	nonbrand	9289	194	USD 233.67
24/07/2025	meta	prospecting	8141	143	USD 216.67
24/07/2025	google	retargeting	8335	67	USD 205.31
24/07/2025	google	newsletter	2883	65	USD 67.72
24/07/2025	meta	promo	2584	43	USD 63.26
24/07/2025	email	awareness	3336	16	USD 83.79
24/07/2025	display	retargeting	3618	36	USD 89.71
25/07/2025	google	brand	13726	284	USD 349.4
25/07/2025	display	nonbrand	12771	243	USD 327.71
25/07/2025	google	prospecting	7521	97	USD 191.45
25/07/2025	display	retargeting	8596	117	USD 218.92
25/07/2025	meta	newsletter	2836	60	USD 75.17
25/07/2025	email	promo	2552	52	USD 61.32
25/07/2025	google	awareness	3726	44	USD 92.01
25/07/2025	google	retargeting	2868	28	USD 80.15
26/07/2025	email	brand	8398	139	USD 218.4
26/07/2025	google	nonbrand	9264	147	USD 229.73
26/07/2025	google	prospecting	5269	67	USD 128.53
26/07/2025	display	retargeting	6011	43	USD 151.65
26/07/2025	email	newsletter	2456	58	USD 64.01
26/07/2025	email	promo	2639	49	USD 61.71
26/07/2025	display	awareness	3072	42	USD 70.05
26/07/2025	display	retargeting	3512	44	USD 92.3
27/07/2025	meta	brand	11785	217	USD 292.4
27/07/2025	google	nonbrand	9743	180	USD 247.87
27/07/2025	meta	prospecting	6006	20	USD 144.68
27/07/2025	email	retargeting	8746	77	USD 216.31
27/07/2025	display	newsletter	2283	54	USD 57.07
27/07/2025	display	promo	2156	34	USD 56.88
27/07/2025	display	awareness	4570	35	USD 113.84
27/07/2025	google	retargeting	2868	37	USD 67.78
28/07/2025	email	brand	10336	245	USD 257.22
28/07/2025	google	nonbrand	9273	214	USD 228.48
28/07/2025	google	prospecting	8367	96	USD 209.44
28/07/2025	email	retargeting	8875	110	USD 222.53
28/07/2025	email	newsletter	2344	45	USD 61.88
28/07/2025	email	promo	3103	55	USD 81.04
28/07/2025	meta	awareness	1547	5	USD 43.73
28/07/2025	display	retargeting	3933	33	USD 109.57
29/07/2025	google	brand	13515	306	USD 343.89
29/07/2025	google	nonbrand	11580	296	USD 288.11
29/07/2025	meta	prospecting	9668	166	USD 240.74
29/07/2025	google	retargeting	6940	51	USD 174.64
29/07/2025	meta	newsletter	1537	45	USD 34.88
29/07/2025	meta	promo	2412	46	USD 57.7
29/07/2025	display	awareness	3081	19	USD 73.38
29/07/2025	display	retargeting	4026	38	USD 94.52
30/07/2025	google	brand	10795	239	USD 261.89
30/07/2025	display	nonbrand	9967	222	USD 249.07
30/07/2025	display	prospecting	7857	126	USD 206.97
30/07/2025	meta	retargeting	7342	38	USD 182.61
30/07/2025	meta	newsletter	3032	49	USD 64.42
30/07/2025	meta	promo	2445	52	USD 67.44
30/07/2025	display	awareness	4978	57	USD 120.82
30/07/2025	meta	retargeting	4402	37	USD 105.56
31/07/2025	meta	brand	11720	210	USD 282.07
31/07/2025	google	nonbrand	9448	165	USD 231.4
31/07/2025	display	prospecting	8455	111	USD 207.25
31/07/2025	email	retargeting	7691	61	USD 201.29
31/07/2025	meta	newsletter	1811	38	USD 41.64
31/07/2025	display	promo	2664	54	USD 62.91
31/07/2025	display	awareness	2406	21	USD 60.86
31/07/2025	display	retargeting	2924	12	USD 75.3
